energy,Adipose,Air,Al,Au,Ba,Be,Bone,Ca,Cu,Er,Fe,Ga,Glass,Hf,I,Mg,Mn,Mo,Nb,Pb,Pd,Pmm,Pt,Rh,Si,Skeletal,Ti,Tiss,W,Wat,Y,Zn
37.75,0.02356,3.16e-05,0.1717,7.099858297,9.835,0.03068,0.1434,0.3271,5.03,8.622,3.299206,3.903,0.107,14.9072,12.4236,0.09431,2.723,15.0,12.08,18.614,22.237,0.02904,30.46,21.9657,0.18407,0.02961,1.158,0.029998,23.6,0.0282,5.452,4.436726
38.25,0.02337,3.11e-05,0.1668,6.853980957,9.485,0.03068,0.1392,0.3147,4.85,8.332,3.181096,3.761,0.104,14.5079,12.0292,0.0917,2.626,14.6,11.66,18.0465,21.5158,0.02868,29.39,21.2211,0.178478,0.0293,1.117,0.029574,22.8,0.0278,5.273,4.272667
38.75,0.02318,3.07e-05,0.1622,6.608103617,9.17,0.03049,0.1352,0.3038,4.68,8.06,3.07086,3.631,0.102,13.9755,11.6348,0.08944,2.53,14.1,11.23,17.3655,20.7946,0.02844,28.53,20.4765,0.173119,0.02888,1.076,0.02915,22.0,0.0275,5.095,4.122874
39.25,0.02299,3.04e-05,0.1576,6.394113124,8.89,0.03049,0.1313,0.293,4.52,7.788,2.960624,3.501,0.099,13.5762,11.2404,0.087,2.44,13.7,10.88,16.798,20.0734,0.0282,27.67,19.856,0.168226,0.02856,1.04,0.028832,21.2,0.0271,4.916,3.980214
39.75,0.0228,2.99e-05,0.1533,6.200583106,8.61,0.03031,0.1279,0.2837,4.36,7.543,2.858262,3.383,0.0968,13.08373,10.8953,0.08491,2.358,13.2,10.46,16.344,19.3522,0.02797,26.6,19.1114,0.163333,0.02825,1.003,0.028514,20.7,0.0268,4.737,3.837554
40.25,0.02261,2.96e-05,0.1493,6.007053087,8.33,0.03012,0.1244,0.2744,4.21,7.298,2.763774,3.265,0.0946,12.65781,10.5502,0.08282,2.277,12.8,10.11,15.7765,18.7512,0.02773,25.74,18.4909,0.158673,0.02793,0.9716,0.028196,19.9,0.0265,4.603,3.70916
40.75,0.02242,2.93e-05,0.1455,5.813523069,8.05,0.03012,0.1212,0.2651,4.07,7.062,2.669286,3.153,0.0926,12.25851,10.2051,0.08091,2.202,12.4,9.77,15.3225,18.1502,0.02749,25.1,17.8704,0.154479,0.02762,0.9398,0.027878,19.3,0.0262,4.447,3.580766
41.25,0.02223,2.89e-05,0.142,5.61999305,7.805,0.02994,0.1179,0.2573,3.93,6.836,2.574798,3.052,0.0905,11.87252,9.9093,0.079,2.128,12.0,9.513,14.755,17.5492,0.02725,24.24,17.374,0.150285,0.0273,0.908,0.02756,18.7,0.026,4.299,3.466638
41.75,0.02204,2.87e-05,0.1385,5.434886154,7.595,0.02994,0.115,0.248,3.8,6.627,2.496058,2.952,0.0888,11.49984,9.6135,0.07726,2.061,11.7,9.17,14.301,17.0684,0.02713,23.6,16.7535,0.146324,0.02699,0.8808,0.027242,18.1,0.0257,4.161,3.35251
42.25,0.02195,2.83e-05,0.135,5.283438085,7.35,0.02975,0.1121,0.2403,3.67,6.428,2.409444,2.852,0.0868,11.15378,9.3177,0.07552,1.994,11.2,8.913,13.9605,16.4674,0.02689,22.74,16.2571,0.142596,0.02678,0.849,0.02703,17.6,0.0255,4.027,3.238382
